field,teBin,N_events,N_eff,N_rubin_only,N_roman_only,N_both,N_neither,N_gap_peaking,frac_gap_seen_by_rubin,frac_gap_seen_by_rubin_unw,N_ratio_tE,Neff_ratio_tE,med_ratio_tE,q25_ratio_tE,q75_ratio_tE,med_ratio_tE_unw,N_ratio_piE,Neff_ratio_piE,med_ratio_piE,q25_ratio_piE,q75_ratio_piE,med_ratio_piE_unw,N_char_joint,N_char_roman,dN_char,frac_char_joint,frac_char_roman,frac_rubin_singular
"F0(+0.400,-1.200)",10-30 d,402.0,179.56372964399688,117.0,182.0,94.0,9.0,137.0,0.44460868573198126,0.5401459854014599,400.0,178.28068047500992,0.6144620370128391,0.024787649916067613,0.9947981662029259,0.5581339292584608,400.0,178.28068047500992,0.6873433388457258,0.11347576704804102,0.9961633831699431,0.6363825808487861,32.0,25.0,7.0,0.03447322146215727,0.03158760351920477,0.0
"F0(+0.400,-1.200)",30-100 d,487.0,142.8012465179657,118.0,203.0,155.0,11.0,190.0,0.4673081617109984,0.45789473684210524,487.0,142.8012465179657,0.8052240700774406,0.13319220408810012,0.9930435279115358,0.7141897956669423,487.0,142.8012465179657,0.8486075879372671,0.15585038286671452,0.991293659735737,0.7775279431628519,176.0,123.0,53.0,0.23872595430133006,0.16970120724584836,0.0004127448000315969
"F0(+0.400,-1.200)",100-300 d,264.0,20.232473005910133,51.0,95.0,115.0,3.0,94.0,0.3737891032146647,0.5851063829787234,264.0,20.232473005910133,0.9451743324926944,0.03554780803516913,0.9996276739777958,0.8353297674064931,264.0,20.232473005910133,0.942276912181303,0.03241782575600305,0.9996150618328605,0.8417636245759494,180.0,131.0,49.0,0.4384970219135966,0.3315137513509414,0.003540476456939384
"F0(+0.400,-1.200)",300-inf d,92.0,31.523584843570458,2.0,34.0,56.0,0.0,32.0,0.5049225143775216,0.5625,92.0,31.523584843570458,0.9298425007530889,0.6950550261738143,0.9980599792606633,0.9510566911781376,92.0,31.523584843570458,0.934076216607413,0.6512328358487224,0.9985655254624791,0.9519957327381162,77.0,69.0,8.0,0.7704785603457598,0.6946428376051195,0.0
"F1(-0.418,-1.200)",10-30 d,431.0,176.02400464450812,151.0,174.0,93.0,13.0,119.0,0.5488504924279745,0.6134453781512605,426.0,175.10115467292735,0.6145526637409032,0.025889760635989655,0.9944592991795219,0.40019411225056556,426.0,175.10115467292735,0.6763028676181747,0.06360210254884459,0.9963803328110433,0.5397381409520337,24.0,11.0,13.0,0.01343218760288795,0.009200069209198695,0.0
"F1(-0.418,-1.200)",30-100 d,493.0,130.381575887717,179.0,163.0,141.0,10.0,194.0,0.5015021699797308,0.5721649484536082,489.0,129.06109890936898,0.5510290798815177,0.022883952973139058,0.9868426342202062,0.4026454510551942,489.0,129.06109890936898,0.6498927778742335,0.03136304924768546,0.984163465265559,0.478672335756412,139.0,83.0,56.0,0.1800835318370733,0.11866520436013356,0.0
"F1(-0.418,-1.200)",100-300 d,288.0,11.756177683929335,88.0,83.0,115.0,2.0,100.0,0.20556155432888776,0.63,284.0,11.601636221870267,0.9465931232209722,0.21756540935015756,0.9984912221100909,0.5982345782615324,284.0,11.601636221870267,0.9604209920704406,0.2642975637582135,0.9986699635449098,0.6209812889307069,183.0,115.0,68.0,0.2856595384040742,0.19349592754050451,0.0
"F1(-0.418,-1.200)",300-inf d,105.0,8.50741505141483,18.0,27.0,60.0,0.0,43.0,0.6171471219153837,0.7209302325581395,104.0,8.4611812762586,0.3438411078717201,0.08249471543293473,0.979487218900349,0.7128095796220743,104.0,8.4611812762586,0.33563282603822325,0.07077649228490827,0.9865004923045034,0.6995973237714828,82.0,67.0,15.0,0.8448156806433272,0.8015473686032284,0.0
"F2(-0.009,-1.200)",10-30 d,357.0,163.33092867471092,104.0,157.0,89.0,7.0,122.0,0.6218933284745022,0.6475409836065574,357.0,163.33092867471092,0.40251574820841823,0.0030557297481598354,0.970229122701236,0.414184046748064,357.0,163.33092867471092,0.45754900519666925,0.023581997466704162,0.977454067245805,0.5537056038722553,39.0,22.0,17.0,0.049436407975686526,0.021768700518314834,0.012231850031098017
"F2(-0.009,-1.200)",30-100 d,452.0,128.6911314321898,110.0,186.0,146.0,10.0,196.0,0.5743338766050534,0.4846938775510204,451.0,129.38754679638046,0.5748118496246049,0.13710950499611746,0.9551810132257341,0.6469870488625173,451.0,129.38754679638046,0.6820594148424719,0.2941587857543104,0.9695611639051996,0.7406133961856097,153.0,105.0,48.0,0.21140130958488135,0.13424213740935415,0.0
"F2(-0.009,-1.200)",100-300 d,299.0,18.903363148281567,43.0,121.0,132.0,3.0,102.0,0.5365228765377307,0.5098039215686274,299.0,18.903363148281567,0.8182401239970337,0.5728319413855514,0.9979359607957141,0.8201319157656359,299.0,18.903363148281567,0.8220670968012967,0.525103590351856,0.9961381069046776,0.8220670968012967,200.0,142.0,58.0,0.44949945505133765,0.33567515134893533,0.0
"F2(-0.009,-1.200)",300-inf d,86.0,27.165279685587343,2.0,36.0,48.0,0.0,23.0,0.6769560702850279,0.6521739130434783,86.0,27.165279685587343,0.8373448917689232,0.6467199574420428,0.9971662680230158,0.9448632722816837,86.0,27.165279685587343,0.8425349337424604,0.6318867568948159,0.9970357296404407,0.9431990085966524,69.0,58.0,11.0,0.7580280116535708,0.6497659634249486,0.0
