panel,param,teBin,dt_centre,n,n_eff,median,median_unweighted,q25,q75,rescue_fraction,rescue_fraction_unweighted
precision,piE,10-30 d,-37.5,133,57.004627171112,0.9973604630789297,0.9947530458229887,0.9145972598198995,0.9999237829337955,,
precision,piE,10-30 d,-22.5,480,225.20640385873628,0.9947705627705626,0.9928253750262521,0.8847195221805286,0.9996691187786634,,
precision,piE,10-30 d,-7.5,478,207.42115151982196,0.9658274500418811,0.9597153038789845,0.752701671466903,0.998836284962671,,
precision,piE,10-30 d,7.5,335,161.00750637505624,0.7386276342823216,0.7330637312683991,0.3392795853778426,0.9855859776743271,,
precision,piE,10-30 d,22.5,221,95.19285538347282,0.40448522009283844,0.4407167798645045,0.20416132771981205,0.9836362198854717,,
precision,piE,10-30 d,37.5,158,71.77157958648613,0.25038751724745323,0.2129445471254065,0.11039013537227375,0.7080816259689217,,
precision,piE,10-30 d,52.5,104,52.379291975120346,0.04367487756990364,0.06264464910719073,0.01832076835691418,0.15302238402479904,,
yield,piE,10-30 d,-37.5,135,57.38108483848584,,,,,0.009014249103568591,0.02962962962962963
yield,piE,10-30 d,-22.5,481,225.51363374231667,,,,,0.0015062968767841848,0.004158004158004158
yield,piE,10-30 d,-7.5,479,207.445883868392,,,,,0.0033083351362072806,0.016701461377870562
yield,piE,10-30 d,7.5,335,161.00750637505624,,,,,0.008550166939217356,0.01791044776119403
yield,piE,10-30 d,22.5,221,95.19285538347282,,,,,0.03811474746317771,0.049773755656108594
yield,piE,10-30 d,37.5,158,71.77157958648613,,,,,0.035838410703823875,0.08227848101265822
yield,piE,10-30 d,52.5,104,52.379291975120346,,,,,0.0578205184694,0.125
precision,piE,30-100 d,-37.5,147,48.1798660092735,0.9975135513805837,0.9870033885301451,0.951785970648303,0.9997975091181888,,
precision,piE,30-100 d,-22.5,372,98.7805360814746,0.9917761946765393,0.9817799382656267,0.7520203923136664,0.9993199189167843,,
precision,piE,30-100 d,-7.5,372,110.94676160665277,0.9769733559524998,0.9671000975979511,0.8388428320778356,0.9988713469038841,,
precision,piE,30-100 d,7.5,340,115.84636680856582,0.936172564904197,0.9522967097337933,0.671390443904216,0.996255918357995,,
precision,piE,30-100 d,22.5,328,97.97957250648335,0.8390967129349408,0.9043496961254489,0.4662266310057841,0.9867942970061407,,
precision,piE,30-100 d,37.5,266,74.6229778677262,0.7963441680691444,0.9179372675762647,0.3464847137048768,0.9873490550712081,,
