panel,param,teBin,dt_centre,n,n_eff,median,median_unweighted,q25,q75,rescue_fraction,rescue_fraction_unweighted
precision,tE,10-30 d,-37.5,133,57.004627171112,0.9973458554512045,0.9947445482287337,0.9094448640777455,0.9999260351990268,,
precision,tE,10-30 d,-22.5,480,225.20640385873628,0.9944455733929418,0.990816205156919,0.8476237667615241,0.9996229823816031,,
precision,tE,10-30 d,-7.5,478,207.42115151982196,0.9643671273560942,0.9494801625068305,0.6469878638216385,0.9987016904959434,,
precision,tE,10-30 d,7.5,335,161.00750637505624,0.6747335709783133,0.6557970179522044,0.22128120564415127,0.9796891946515547,,
precision,tE,10-30 d,22.5,221,95.19285538347282,0.24327380999705828,0.255417885214017,0.04776635949728706,0.9563757245141493,,
precision,tE,10-30 d,37.5,158,71.77157958648613,0.10734665916502568,0.07375259642316319,0.020516588804565052,0.4458900221567084,,
precision,tE,10-30 d,52.5,104,52.379291975120346,0.00663419148040443,0.0166534770945481,0.0017282897836448344,0.03611528296834434,,
yield,tE,10-30 d,-37.5,135,57.38108483848584,,,,,0.009014249103568591,0.02962962962962963
yield,tE,10-30 d,-22.5,481,225.51363374231667,,,,,0.0015062968767841848,0.004158004158004158
yield,tE,10-30 d,-7.5,479,207.445883868392,,,,,0.0033083351362072806,0.016701461377870562
yield,tE,10-30 d,7.5,335,161.00750637505624,,,,,0.008550166939217356,0.01791044776119403
yield,tE,10-30 d,22.5,221,95.19285538347282,,,,,0.03811474746317771,0.049773755656108594
yield,tE,10-30 d,37.5,158,71.77157958648613,,,,,0.035838410703823875,0.08227848101265822
yield,tE,10-30 d,52.5,104,52.379291975120346,,,,,0.0578205184694,0.125
precision,tE,30-100 d,-37.5,147,48.1798660092735,0.99705577181075,0.9824340095424433,0.920429915131207,0.9995561539258188,,
precision,tE,30-100 d,-22.5,372,98.7805360814746,0.983878644095641,0.9772917182464604,0.7775638437060848,0.9993886326828737,,
precision,tE,30-100 d,-7.5,372,110.94676160665277,0.9801258929202913,0.9688809084597989,0.8292858302600143,0.9990625113968151,,
precision,tE,30-100 d,7.5,340,115.84636680856582,0.9114194819686141,0.9465202797305721,0.43101510001267895,0.9968957404346321,,
