panel,log_tE_lo,log_piE_lo,n,frac_char_joint,frac_char_alone,ratio,rescue
roman,-0.5000,-1.5000,4,,,,False
roman,-0.5000,-1.0000,4,,,,False
roman,0.0000,-2.0000,2,,,,False
roman,0.0000,-1.5000,19,0.0000,0.0000,,False
roman,0.0000,-1.0000,56,0.0000,0.0000,,False
roman,0.0000,-0.5000,35,0.0000,0.0000,,False
roman,0.0000,0.0000,2,,,,False
roman,0.5000,-2.5000,1,,,,False
roman,0.5000,-2.0000,10,,,,False
roman,0.5000,-1.5000,129,0.0000,0.0000,,False
roman,0.5000,-1.0000,512,0.0000,0.0000,,False
roman,0.5000,-0.5000,349,0.0287,0.0115,2.5000,False
roman,0.5000,0.0000,15,0.0000,0.0000,,False
roman,0.5000,0.5000,2,,,,False
roman,1.0000,-2.0000,23,0.0000,0.0000,,False
roman,1.0000,-1.5000,450,0.0111,0.0089,1.2500,False
roman,1.0000,-1.0000,1349,0.0563,0.0356,1.5833,False
roman,1.0000,-0.5000,703,0.1323,0.0754,1.7547,False
roman,1.0000,0.0000,91,0.3956,0.2527,1.5652,False
roman,1.0000,0.5000,13,0.3846,0.3077,1.2500,False
roman,1.5000,-2.0000,14,0.1429,0.1429,1.0000,False
roman,1.5000,-1.5000,432,0.1227,0.0810,1.5143,False
roman,1.5000,-1.0000,1172,0.2594,0.1783,1.4545,False
roman,1.5000,-0.5000,924,0.4524,0.3247,1.3933,False
roman,1.5000,0.0000,226,0.6770,0.5221,1.2966,False
roman,1.5000,0.5000,4,,,,False
roman,2.0000,-2.5000,1,,,,False
roman,2.0000,-2.0000,7,,,,False
roman,2.0000,-1.5000,183,0.4754,0.3333,1.4262,False
roman,2.0000,-1.0000,846,0.6028,0.4303,1.4011,False
roman,2.0000,-0.5000,679,0.7629,0.5508,1.3850,False
roman,2.0000,0.0000,101,0.7723,0.6634,1.1642,False
roman,2.5000,-2.0000,1,,,,False
roman,2.5000,-1.5000,52,0.7308,0.4231,1.7273,False
roman,2.5000,-1.0000,268,0.7985,0.6567,1.2159,False
roman,2.5000,-0.5000,154,0.9156,0.8312,1.1016,False
roman,2.5000,0.0000,7,,,,False
roman,3.0000,-1.5000,9,,,,False
roman,3.0000,-1.0000,32,0.8750,0.8750,1.0000,False
roman,3.0000,-0.5000,9,,,,False
roman,3.0000,0.0000,1,,,,False
rubin,-0.5000,-1.5000,5,,,,False
rubin,-0.5000,-1.0000,8,,,,False
rubin,0.0000,-2.5000,2,,,,False
rubin,0.0000,-2.0000,7,,,,False
rubin,0.0000,-1.5000,43,0.0000,0.0000,,False
rubin,0.0000,-1.0000,143,0.0000,0.0000,,False
rubin,0.0000,-0.5000,110,0.0000,0.0000,,False
rubin,0.0000,0.0000,3,,,,False
rubin,0.5000,-2.5000,1,,,,False
rubin,0.5000,-2.0000,46,0.0000,0.0000,,False
rubin,0.5000,-1.5000,556,0.0000,0.0000,,False
rubin,0.5000,-1.0000,2207,0.0000,0.0000,,False
rubin,0.5000,-0.5000,1635,0.0061,0.0000,,True
rubin,0.5000,0.0000,118,0.0000,0.0000,,False
rubin,0.5000,0.5000,10,,,,False
rubin,1.0000,-2.5000,1,,,,False
rubin,1.0000,-2.0000,87,0.0000,0.0000,,False
rubin,1.0000,-1.5000,2725,0.0022,0.0007,3.0000,False
rubin,1.0000,-1.0000,8578,0.0117,0.0038,3.0303,False
rubin,1.0000,-0.5000,4747,0.0404,0.0253,1.6000,False
rubin,1.0000,0.0000,1151,0.1303,0.1112,1.1719,False
rubin,1.0000,0.5000,87,0.2299,0.1839,1.2500,False
rubin,1.5000,-2.5000,4,,,,False
rubin,1.5000,-2.0000,111,0.0270,0.0180,1.5000,False
rubin,1.5000,-1.5000,3304,0.0330,0.0197,1.6769,False
rubin,1.5000,-1.0000,10843,0.0826,0.0621,1.3314,False
rubin,1.5000,-0.5000,10276,0.1721,0.1462,1.1771,False
rubin,1.5000,0.0000,2938,0.2607,0.2274,1.1467,False
rubin,1.5000,0.5000,84,0.1905,0.1786,1.0667,False
rubin,2.0000,-2.5000,2,,,,False
rubin,2.0000,-2.0000,71,0.0845,0.0845,1.0000,False
rubin,2.0000,-1.5000,2132,0.1820,0.1562,1.1652,False
rubin,2.0000,-1.0000,10639,0.3046,0.2768,1.1005,False
rubin,2.0000,-0.5000,10158,0.4168,0.3910,1.0660,False
rubin,2.0000,0.0000,1479,0.5355,0.5132,1.0435,False
rubin,2.0000,0.5000,20,0.4500,0.4500,1.0000,False
rubin,2.5000,-2.5000,2,,,,False
rubin,2.5000,-2.0000,28,0.2143,0.2143,1.0000,False
rubin,2.5000,-1.5000,662,0.3988,0.3656,1.0909,False
rubin,2.5000,-1.0000,4095,0.4681,0.4398,1.0644,False
rubin,2.5000,-0.5000,2618,0.5477,0.5237,1.0460,False
rubin,2.5000,0.0000,236,0.6314,0.6144,1.0276,False
rubin,2.5000,0.5000,1,,,,False
rubin,3.0000,-2.0000,10,,,,False
rubin,3.0000,-1.5000,80,0.3875,0.3625,1.0690,False
rubin,3.0000,-1.0000,498,0.4538,0.4257,1.0660,False
rubin,3.0000,-0.5000,266,0.5338,0.5226,1.0216,False
rubin,3.0000,0.0000,23,0.7826,0.7826,1.0000,False
