param,survey,n_sample,n_measured,n_eff,frac_measured,frac_below_10pct,frac_below_10pct_unweighted,p10,median,p90,median_unweighted
tE,joint,82888,80886,10985,0.98806,0.041975,0.092028,0.22671,2.3736,25.853,1.6438
tE,roman,82888,8828,10985,0.14789,0.009018,0.015334,0.18501,3.4398,81278,1.9166
tE,rubin,82888,80851,10985,0.98739,0.029996,0.076959,0.2835,3.0991,56.526,2.0259
piE,joint,82888,80886,10985,0.98806,0.010621,0.076525,1.1572,18.354,395.48,3.1238
piE,roman,82888,8828,10985,0.14789,0.0027372,0.012764,0.90084,27.883,1.0343e+05,5.1797
piE,rubin,82888,80851,10985,0.98739,0.0075028,0.065124,1.5424,25.401,785.38,3.889
tetE,joint,82888,82888,10985,1,0.042921,0.037026,0.35331,3.0043,17.099,4.1066
tetE,roman,82888,8893,10985,0.14914,0.040946,0.035144,0.029315,0.34478,6.1886,0.26859
tetE,rubin,82888,82883,10985,0.99984,0.0020339,0.0022319,0.68731,3.425,17.906,4.4257
Ml,joint,82888,82888,10985,1,0.0020895,0.0081676,2.5067,20.749,311.54,9.1825
Ml,roman,82888,8893,10985,0.14914,0.0016742,0.0063218,1.0389,17.123,1103.1,4.6089
Ml,rubin,82888,82883,10985,0.99984,2.4623e-05,0.00012064,3.3672,28.102,436.9,10.662
Ml,roman,82888,8893,2563.7,,,,,0.84009,,0.83574
Ml,rubin,82888,82883,10983,,,,,1,,1
condA,joint,82888,82802,10985,0.99977,0.878,0.8747,1.8066e+05,6.3512e+06,1.848e+09,1.8017e+06
condA,roman,82888,8889,10985,0.14905,0.11293,0.084813,5.834e+05,4.9205e+07,1.8504e+10,2.0021e+07
condA,rubin,82888,82800,10985,0.9997,0.87504,0.87301,1.8459e+05,6.2325e+06,2.1126e+09,1.7129e+06
