param,survey,n_sample,n_measured,n_eff,frac_measured,frac_below_10pct,frac_below_10pct_unweighted,p10,median,p90,median_unweighted
tE,joint,8894,8833,2563.9,0.9929,0.1009,0.20385,0.097486,1.1683,10.66,0.64336
tE,roman,8894,8828,2563.9,0.99159,0.060465,0.14291,0.18501,3.4398,81278,1.9166
tE,rubin,8894,8798,2563.9,0.98844,0.020577,0.063414,0.57762,14.393,2493.1,5.6884
piE,joint,8894,8833,2563.9,0.9929,0.02568,0.15887,0.55332,9.066,192.8,1.6341
piE,roman,8894,8828,2563.9,0.99159,0.018353,0.11896,0.90084,27.883,1.0343e+05,5.1797
piE,rubin,8894,8798,2563.9,0.98844,0.0047749,0.05262,3.2546,112.82,18278,14.923
tetE,joint,8894,8894,2563.9,1,0.27853,0.33157,0.028645,0.31652,3.7698,0.25226
tetE,roman,8894,8893,2563.9,0.99995,0.27454,0.32752,0.029315,0.34478,6.1886,0.26859
tetE,rubin,8894,8889,2563.9,0.99892,0.0043809,0.0073083,0.51329,2.1292,11.541,1.9282
Ml,joint,8894,8894,2563.9,1,0.013889,0.075332,0.74616,8.4262,129.85,2.2188
Ml,roman,8894,8893,2563.9,0.99995,0.011225,0.058916,1.0389,17.123,1103.1,4.6089
Ml,rubin,8894,8889,2563.9,0.99892,4.376e-05,0.00033731,4.6837,81.984,1103.9,15.161
Ml,roman,8894,8893,2563.7,,,,,0.84009,,0.83574
Ml,rubin,8894,8889,2562.4,,,,,0.12351,,0.12504
condA,joint,8894,8891,2563.9,0.99939,0.89698,0.93007,2.2756e+05,1.0408e+07,1.0742e+09,2.8252e+06
condA,roman,8894,8889,2563.9,0.99934,0.75718,0.79042,5.834e+05,4.9205e+07,1.8504e+10,2.0021e+07
condA,rubin,8894,8889,2563.9,0.99892,0.87719,0.91432,3.0208e+05,8.9825e+06,2.0614e+09,1.8541e+06
