panel,metric,value
a,frac_shift_above_per_exposure_precision,0.00020424783601219525
a,frac_blenddiluted_above_precision,0.00020424783601219525
a,median_max_shift_mas,0.1202917991604705
a,median_blend_F146,1.0
a,median_roman_per_exposure_precision_mas,6.962454100877016
a,median_max_shift_mas_unweighted,0.11063516085924849
a,frac_shift_above_per_exposure_precision_unweighted,0.001124353496739375
b,frac_reaching_theta_over_sqrt8,0.8102154337508374
b,median_stacked_precision_mas,0.03115322382125477
b,median_shift_over_stacked_precision,3.861295378310079
b,frac_reaching_theta_over_sqrt8_unweighted,0.7412862604002698
c,frac_ast_peak_crosses_season_edge,0.4092398244554761
c,frac_crossing_given_t0_in_season,0.5048378919147659
c,frac_ast_peak_crosses_season_edge_unweighted,0.4250056217674837
d,frac_sigtetE_below_10pct_joint,0.27852875836072893
d,frac_sigtetE_below_10pct_joint_unweighted,0.33157184618844165
d,frac_sigtetE_below_10pct_roman,0.27453823450932735
d,frac_sigtetE_below_10pct_roman_unweighted,0.3275241736001799
d,frac_sigtetE_below_10pct_rubin,0.0043809070505581756
d,frac_sigtetE_below_10pct_rubin_unweighted,0.007308297728805937
e,median_ratio_tetE_joint_over_roman,0.9770506570580756
e,median_ratio_tetE_joint_over_roman_unweighted,0.9829056228237776
e,n_above_unity_roman,0.0
e,median_ratio_tetE_joint_over_rubin,0.13524985189369412
e,median_ratio_tetE_joint_over_rubin_unweighted,0.1292939704308075
e,n_above_unity_rubin,0.0
f,median_Ml_msun,0.3613930743202719
f,median_Ml_msun_unweighted,0.16711933694525616
