panel,param,teBin,dt_centre,n,n_eff,median,median_unweighted,q25,q75,rescue_fraction,rescue_fraction_unweighted
precision,tE,10-30 d,-37.5,252,115.90968479083452,0.9999909237366977,0.9999902687621949,0.9997976664193701,1.0,,
precision,tE,10-30 d,-22.5,811,401.5362057861564,0.9999503524972693,0.9999181219823989,0.9990618343445529,0.9999968033858537,,
precision,tE,10-30 d,-7.5,772,372.57114040298654,0.9997307590910876,0.9996551305596083,0.9925933958030247,0.9999865284485489,,
precision,tE,10-30 d,7.5,581,294.8136333508337,0.9933406494737367,0.9899661785252992,0.8290095004113464,0.9999062610896479,,
precision,tE,10-30 d,22.5,413,200.6607095476658,0.9028863174622332,0.901287521660549,0.40886865796436855,0.9996368861024033,,
precision,tE,10-30 d,37.5,243,116.69128061856587,0.8299675803124078,0.8343159799976971,0.09958601535411409,0.9995143985413631,,
precision,tE,10-30 d,52.5,122,62.44360698645609,0.07682426527413634,0.25562410031385163,0.010592078348339064,0.7477716810164613,,
yield,tE,10-30 d,-37.5,252,115.90968479083452,,,,,0.0,0.0
yield,tE,10-30 d,-22.5,811,401.5362057861564,,,,,0.0001912736125600182,0.0012330456226880395
yield,tE,10-30 d,-7.5,772,372.57114040298654,,,,,0.002252635760482863,0.006476683937823834
yield,tE,10-30 d,7.5,581,294.8136333508337,,,,,0.011212114300065431,0.0189328743545611
yield,tE,10-30 d,22.5,413,200.6607095476658,,,,,0.015158614504296734,0.031476997578692496
yield,tE,10-30 d,37.5,243,116.69128061856587,,,,,0.03379608324478339,0.04938271604938271
yield,tE,10-30 d,52.5,122,62.44360698645609,,,,,0.06992853089251908,0.07377049180327869
precision,tE,30-100 d,-37.5,195,72.27335081945334,0.999913737795246,0.9998373171709833,0.9994269065524917,0.9999936063425082,,
precision,tE,30-100 d,-22.5,621,218.4500344809216,0.9999120038913835,0.9998604749916589,0.9987200868789512,0.9999970102041732,,
precision,tE,30-100 d,-7.5,653,238.74707288050143,0.9998888537400717,0.9997675455605114,0.9988258870326345,0.9999918076434686,,
precision,tE,30-100 d,7.5,521,182.30113346149017,0.9996603253177657,0.9996796083995596,0.9936508383427421,0.9999885923627497,,
precision,tE,30-100 d,22.5,461,157.75644680609017,0.9975611505630873,0.9989883963106219,0.974738353979871,0.9999426264190996,,
precision,tE,30-100 d,37.5,456,128.22054817738416,0.9971997196232351,0.9984724528374644,0.953878034339846,0.9999081186012915,,
precision,tE,30-100 d,52.5,370,106.59293945358186,0.9940899609563032,0.998378543244755,0.6343563247011953,0.9997048358351713,,
yield,tE,30-100 d,-37.5,195,72.27335081945334,,,,,8.566131832323009e-05,0.005128205128205128
yield,tE,30-100 d,-22.5,621,218.4500344809216,,,,,0.0010737223484279322,0.001610305958132045
yield,tE,30-100 d,-7.5,654,239.21339538396353,,,,,4.98704002368918e-05,0.0030581039755351682
yield,tE,30-100 d,7.5,521,182.30113346149017,,,,,0.01992598960944633,0.015355086372360844
yield,tE,30-100 d,22.5,461,157.75644680609017,,,,,0.0007589551159342352,0.006507592190889371
yield,tE,30-100 d,37.5,456,128.22054817738416,,,,,0.01571968872560967,0.013157894736842105
yield,tE,30-100 d,52.5,370,106.59293945358186,,,,,0.09769309081898288,0.04864864864864865
precision,tE,100-300 d,-37.5,72,20.210906791305696,0.999779685045404,0.9995397135424564,0.9992692486547532,0.9999953659293861,,
precision,tE,100-300 d,-22.5,246,69.83166100343148,0.9998025732778446,0.9997535149992052,0.9976952967620178,0.9999914076059871,,
precision,tE,100-300 d,-7.5,252,8.249686000243374,0.9977142445758304,0.999769747815832,0.9627267329107518,0.9998776989376972,,
precision,tE,100-300 d,7.5,220,30.40055181941566,0.9998778956181972,0.999792926481421,0.9974464109146657,0.9999593723845972,,
precision,tE,100-300 d,22.5,212,60.2333814572166,0.9995980683638428,0.9994937551180358,0.9959004210444241,0.9999846688079232,,
precision,tE,100-300 d,37.5,232,63.00633399364227,0.9998606267259597,0.9998139751248812,0.9982261167951844,0.9999798645893635,,
precision,tE,100-300 d,52.5,195,34.89420441548397,0.9998371758368942,0.9998557977775893,0.9911778665506467,0.9999867171575684,,
yield,tE,100-300 d,-37.5,72,20.210906791305696,,,,,0.0,0.0
yield,tE,100-300 d,-22.5,246,69.83166100343148,,,,,0.0,0.0
yield,tE,100-300 d,-7.5,252,8.249686000243374,,,,,0.0,0.0
yield,tE,100-300 d,7.5,220,30.40055181941566,,,,,0.0,0.0
yield,tE,100-300 d,22.5,212,60.2333814572166,,,,,0.007874807873352973,0.009433962264150943
yield,tE,100-300 d,37.5,232,63.00633399364227,,,,,0.0,0.0
yield,tE,100-300 d,52.5,195,34.89420441548397,,,,,0.0,0.0
precision,tE,> 300 d,-37.5,26,10.926358816760935,0.9999650181468364,0.9999274070499024,0.9996570661762879,0.9999859144443349,,
precision,tE,> 300 d,-22.5,62,24.285465662007834,0.9999710509098698,0.9999709571897581,0.9995467788928456,0.9999966642278465,,
precision,tE,> 300 d,-7.5,62,25.09049685755488,0.9999042860387398,0.9998996327538302,0.9996805222166578,0.9999894418244528,,
