panel,param,teBin,dt_centre,n,n_eff,median,median_unweighted,q25,q75,rescue_fraction,rescue_fraction_unweighted
precision,piE,10-30 d,-37.5,252,115.90968479083452,0.9999883302992111,0.9999865359949255,0.9997990815821687,1.0,,
precision,piE,10-30 d,-22.5,811,401.5362057861564,0.9999552099756344,0.9999333295235918,0.9992056892926917,0.999997469136115,,
precision,piE,10-30 d,-7.5,772,372.57114040298654,0.9997713063452399,0.999674998979016,0.9944308261299617,0.9999906088295786,,
precision,piE,10-30 d,7.5,581,294.8136333508337,0.9965311497556094,0.9925592601778691,0.9163572441227026,0.9999625669116454,,
precision,piE,10-30 d,22.5,413,200.6607095476658,0.952474574327341,0.9466895025358669,0.5594303165331022,0.9997218633163201,,
precision,piE,10-30 d,37.5,243,116.69128061856587,0.8820188075316518,0.935790785663769,0.36190452471220325,0.9995501979129183,,
precision,piE,10-30 d,52.5,122,62.44360698645609,0.18275662128379558,0.35291851447475003,0.06546286139622347,0.7520843020221477,,
yield,piE,10-30 d,-37.5,252,115.90968479083452,,,,,0.0,0.0
yield,piE,10-30 d,-22.5,811,401.5362057861564,,,,,0.0001912736125600182,0.0012330456226880395
yield,piE,10-30 d,-7.5,772,372.57114040298654,,,,,0.002252635760482863,0.006476683937823834
yield,piE,10-30 d,7.5,581,294.8136333508337,,,,,0.011212114300065431,0.0189328743545611
yield,piE,10-30 d,22.5,413,200.6607095476658,,,,,0.015158614504296734,0.031476997578692496
yield,piE,10-30 d,37.5,243,116.69128061856587,,,,,0.03379608324478339,0.04938271604938271
yield,piE,10-30 d,52.5,122,62.44360698645609,,,,,0.06992853089251908,0.07377049180327869
precision,piE,30-100 d,-37.5,195,72.27335081945334,0.9999263311638396,0.9998818209035186,0.999406541867607,0.9999946192008436,,
precision,piE,30-100 d,-22.5,621,218.4500344809216,0.9999422236666307,0.9998697367916938,0.9989157651634861,0.9999973170064231,,
precision,piE,30-100 d,-7.5,653,238.74707288050143,0.9999073870411318,0.9997822631567487,0.9988206674629553,0.9999883480846582,,
precision,piE,30-100 d,7.5,521,182.30113346149017,0.9997637938344134,0.9997092765353408,0.9933784070581815,0.9999896402579576,,
precision,piE,30-100 d,22.5,461,157.75644680609017,0.9981582609107806,0.9990833549209891,0.9734622080480823,0.9999435264352756,,
