panel,log_tE_lo,log_piE_lo,n,frac_char_joint,frac_char_alone,ratio,rescue
roman,-0.5000,-1.5000,8,,,,False
roman,-0.5000,-1.0000,3,,,,False
roman,0.0000,-2.5000,1,,,,False
roman,0.0000,-2.0000,4,,,,False
roman,0.0000,-1.5000,32,0.0000,0.0000,,False
roman,0.0000,-1.0000,72,0.0000,0.0000,,False
roman,0.0000,-0.5000,68,0.0000,0.0000,,False
roman,0.0000,0.0000,3,,,,False
roman,0.5000,-2.0000,14,,,,False
roman,0.5000,-1.5000,157,0.0000,0.0000,,False
roman,0.5000,-1.0000,689,0.0031,0.0031,1.0000,False
roman,0.5000,-0.5000,556,0.0118,0.0079,1.5003,False
roman,0.5000,0.0000,37,0.0206,0.0206,1.0000,False
roman,1.0000,-2.5000,1,,,,False
roman,1.0000,-2.0000,12,,,,False
roman,1.0000,-1.5000,677,0.0202,0.0173,1.1669,False
roman,1.0000,-1.0000,1994,0.0645,0.0539,1.1966,False
roman,1.0000,-0.5000,1016,0.1108,0.0968,1.1443,False
roman,1.0000,0.0000,140,0.2628,0.1794,1.4652,False
roman,1.0000,0.5000,16,,,,False
roman,1.5000,-2.0000,16,,,,False
roman,1.5000,-1.5000,604,0.1870,0.1669,1.1205,False
roman,1.5000,-1.0000,1781,0.2527,0.2354,1.0735,False
roman,1.5000,-0.5000,1242,0.3380,0.2903,1.1642,False
roman,1.5000,0.0000,297,0.5367,0.4826,1.1121,False
roman,1.5000,0.5000,8,,,,False
roman,2.0000,-2.0000,15,,,,False
roman,2.0000,-1.5000,272,0.5071,0.4844,1.0470,False
roman,2.0000,-1.0000,1150,0.5834,0.5008,1.1648,False
roman,2.0000,-0.5000,818,0.7109,0.5934,1.1982,False
roman,2.0000,0.0000,96,0.7682,0.7182,1.0696,False
roman,2.0000,0.5000,3,,,,False
roman,2.5000,-2.0000,5,,,,False
roman,2.5000,-1.5000,69,0.5097,0.4389,1.1613,False
roman,2.5000,-1.0000,359,0.7636,0.7231,1.0561,False
roman,2.5000,-0.5000,157,0.8856,0.8643,1.0246,False
roman,2.5000,0.0000,12,,,,False
roman,3.0000,-1.5000,2,,,,False
roman,3.0000,-1.0000,30,,,,False
roman,3.0000,-0.5000,18,,,,False
roman,3.0000,0.0000,1,,,,False
rubin,-0.5000,-1.5000,9,,,,False
rubin,-0.5000,-1.0000,6,,,,False
rubin,-0.5000,-0.5000,2,,,,False
rubin,0.0000,-2.5000,1,,,,False
rubin,0.0000,-2.0000,9,,,,False
rubin,0.0000,-1.5000,60,0.0000,0.0000,,False
rubin,0.0000,-1.0000,152,0.0000,0.0000,,False
rubin,0.0000,-0.5000,122,0.0000,0.0000,,False
rubin,0.0000,0.0000,5,,,,False
rubin,0.5000,-2.5000,2,,,,False
rubin,0.5000,-2.0000,42,0.0000,0.0000,,False
rubin,0.5000,-1.5000,491,0.0000,0.0000,,False
rubin,0.5000,-1.0000,1852,0.0013,0.0000,,True
rubin,0.5000,-0.5000,1482,0.0051,0.0000,,True
rubin,0.5000,0.0000,154,0.0076,0.0000,,True
rubin,0.5000,0.5000,12,,,,False
rubin,1.0000,-2.5000,1,,,,False
rubin,1.0000,-2.0000,67,0.0000,0.0000,,False
rubin,1.0000,-1.5000,2369,0.0077,0.0001,65.8495,False
rubin,1.0000,-1.0000,7336,0.0271,0.0035,7.8054,False
rubin,1.0000,-0.5000,4351,0.0558,0.0132,4.2453,False
rubin,1.0000,0.0000,1319,0.1150,0.0575,2.0013,False
rubin,1.0000,0.5000,114,0.2522,0.1610,1.5665,False
rubin,1.5000,-2.5000,5,,,,False
rubin,1.5000,-2.0000,94,,,,False
rubin,1.5000,-1.5000,2846,0.0845,0.0176,4.7915,False
rubin,1.5000,-1.0000,10187,0.1246,0.0424,2.9382,False
rubin,1.5000,-0.5000,11133,0.2239,0.1322,1.6944,False
rubin,1.5000,0.0000,3698,0.3693,0.2760,1.3378,False
rubin,1.5000,0.5000,94,0.4693,0.1548,3.0309,False
rubin,2.0000,-2.5000,2,,,,False
rubin,2.0000,-2.0000,92,,,,False
rubin,2.0000,-1.5000,1996,0.2621,0.1876,1.3968,False
rubin,2.0000,-1.0000,11662,0.3916,0.2647,1.4795,False
rubin,2.0000,-0.5000,11582,0.4868,0.3694,1.3177,False
rubin,2.0000,0.0000,1702,0.6755,0.5460,1.2371,False
rubin,2.0000,0.5000,35,,,,False
rubin,2.5000,-2.5000,1,,,,False
rubin,2.5000,-2.0000,32,,,,False
rubin,2.5000,-1.5000,656,0.5581,0.4686,1.1910,False
rubin,2.5000,-1.0000,4685,0.5547,0.4309,1.2873,False
rubin,2.5000,-0.5000,3116,0.7112,0.5953,1.1948,False
rubin,2.5000,0.0000,263,0.7572,0.6303,1.2013,False
rubin,2.5000,0.5000,5,,,,False
rubin,3.0000,-2.0000,12,,,,False
rubin,3.0000,-1.5000,90,,,,False
rubin,3.0000,-1.0000,676,0.6237,0.4557,1.3687,False
rubin,3.0000,-0.5000,365,0.6212,0.4602,1.3500,False
rubin,3.0000,0.0000,27,,,,False
