param,survey,n_sample,n_measured,n_eff,frac_measured,frac_below_10pct,frac_below_10pct_unweighted,p10,median,p90,median_unweighted
tE,joint,12461,12407,3969.3,0.99522,0.13222,0.21676,0.068167,1.2111,12.318,0.69335
tE,roman,12461,12399,3969.3,0.99384,0.11553,0.18875,0.080526,1.7992,57.286,1.1148
tE,rubin,12461,12316,3969.3,0.9889,0.0083315,0.027365,2.5172,191.38,29544,66.552
piE,joint,12461,12407,3969.3,0.99522,0.037037,0.16146,0.38065,6.8267,115.7,1.6857
piE,roman,12461,12399,3969.3,0.99384,0.03322,0.14228,0.44768,9.1322,500.75,2.6225
piE,rubin,12461,12316,3969.3,0.9889,0.0015147,0.023513,15.757,1066.6,1.284e+05,154.53
tetE,joint,12461,12461,3969.3,1,0.50499,0.54089,0.013967,0.098362,0.98795,0.082917
tetE,roman,12461,12461,3969.3,1,0.50265,0.53904,0.013967,0.099039,1.0101,0.083623
tetE,rubin,12461,12385,3969.3,0.99483,0.0013158,0.0048953,0.5294,2.2973,18.825,2.3835
Ml,joint,12461,12461,3969.3,1,0.023679,0.099029,0.44733,5.2374,70.466,1.5554
Ml,roman,12461,12461,3969.3,1,0.02151,0.087553,0.51204,6.0388,112,1.9742
Ml,rubin,12461,12385,3969.3,0.99483,1.2656e-05,0.00024075,16.015,206.15,2328.5,66.561
Ml,roman,12461,12461,3969.3,,,,,0.99909,,0.99862
Ml,rubin,12461,12385,3941.8,,,,,0.023558,,0.022214
condA,joint,12461,12458,3969.3,0.99989,0.88905,0.91501,3.626e+05,1.9581e+07,1.2492e+09,7.8819e+06
condA,roman,12461,12458,3969.3,0.99989,0.80863,0.83372,6.9895e+05,3.757e+07,4.7881e+09,2.0496e+07
condA,rubin,12461,12379,3969.3,0.99447,0.90539,0.92304,3.8881e+05,1.007e+07,7.9405e+08,2.7353e+06
