param,survey,n_sample,n_measured,n_eff,frac_measured,frac_below_10pct,frac_below_10pct_unweighted,p10,median,p90,median_unweighted
tE,joint,85061,82898,9465.5,0.98881,0.066662,0.095943,0.16107,1.8888,19.445,1.4563
tE,roman,85061,12399,9465.5,0.35985,0.041832,0.027651,0.080526,1.7992,57.286,1.1148
tE,rubin,85061,82807,9465.5,0.98652,0.021806,0.068198,0.40983,5.678,1567.6,2.1644
piE,joint,85061,82898,9465.5,0.98881,0.019203,0.07959,0.79464,13.867,334.4,2.4529
piE,roman,85061,12399,9465.5,0.35985,0.012028,0.020844,0.44768,9.1322,500.75,2.6225
piE,rubin,85061,82807,9465.5,0.98652,0.0063413,0.059381,2.2573,56.575,10405,3.8202
tetE,joint,85061,85061,9465.5,1,0.18331,0.080566,0.036945,1.7667,19.696,5.4523
tetE,roman,85061,12461,9465.5,0.36208,0.182,0.078967,0.013967,0.099039,1.0101,0.083623
tetE,rubin,85061,84985,9465.5,0.99813,0.00093625,0.0020456,0.64617,3.5968,26.417,6.5593
Ml,joint,85061,85061,9465.5,1,0.0085793,0.014578,1.338,15.11,270.92,11.593
Ml,roman,85061,12461,9465.5,0.36208,0.0077881,0.012826,0.51204,6.0388,112,1.9742
Ml,rubin,85061,84985,9465.5,0.99813,1.0214e-05,0.00010581,4.6113,55.327,955,17.935
Ml,roman,85061,12461,3969.3,,,,,0.99909,,0.99862
Ml,rubin,85061,84985,9440.1,,,,,1,,1
condA,joint,85061,84958,9465.5,0.99983,0.87906,0.88073,1.7478e+05,7.4967e+06,1.6417e+09,1.5448e+06
condA,roman,85061,12458,9465.5,0.36204,0.29279,0.12214,6.9895e+05,3.757e+07,4.7881e+09,2.0496e+07
condA,rubin,85061,84879,9465.5,0.99787,0.88498,0.88191,1.8753e+05,6.0642e+06,1.4584e+09,1.3155e+06
