panel,metric,value
a,frac_shift_above_per_exposure_precision,0.0022480382520651595
a,frac_blenddiluted_above_precision,0.0021922867484740487
a,median_max_shift_mas,0.12357610240050461
a,median_blend_F146,1.0
a,median_roman_per_exposure_precision_mas,2.751151901917418
a,median_max_shift_mas_unweighted,0.10929572740105169
a,frac_shift_above_per_exposure_precision_unweighted,0.0016852580049755237
b,frac_reaching_theta_over_sqrt8,0.7103684416095175
b,median_stacked_precision_mas,0.01234078161218247
b,median_shift_over_stacked_precision,10.013636598067158
b,frac_reaching_theta_over_sqrt8_unweighted,0.6529973517374208
c,frac_ast_peak_crosses_season_edge,0.3955353162384781
c,frac_crossing_given_t0_in_season,0.3950294841045718
c,frac_ast_peak_crosses_season_edge_unweighted,0.3938688708771367
d,frac_sigtetE_below_10pct_joint,0.5049886274890089
d,frac_sigtetE_below_10pct_joint_unweighted,0.5408875692159538
d,frac_sigtetE_below_10pct_roman,0.5026461205774971
d,frac_sigtetE_below_10pct_roman_unweighted,0.5390418104485997
d,frac_sigtetE_below_10pct_rubin,0.0013158142621356602
d,frac_sigtetE_below_10pct_rubin_unweighted,0.00489527325254795
e,median_ratio_tetE_joint_over_roman,0.9988473742148546
e,median_ratio_tetE_joint_over_roman_unweighted,0.9992863643345165
e,n_above_unity_roman,0.0
e,median_ratio_tetE_joint_over_rubin,0.03218920443859319
e,median_ratio_tetE_joint_over_rubin_unweighted,0.028326356142780812
e,n_above_unity_rubin,0.0
f,median_Ml_msun,0.36688874977137237
f,median_Ml_msun_unweighted,0.17004098016146074
