run,population,commit,scope,selection,F,n_mc,N_per_object,err_per_object,N_all_stars,err_all_stars
bh,bh,a5028fe,whole scan,joint (either survey),0.005,101515,155.03526147790336,1.1673823267214298,160.48980893233752,1.2992708378152684
bh,bh,a5028fe,whole scan,joint (either survey),0.01,101515,310.0705229558067,2.3347646534428597,320.97961786467505,2.598541675630537
bh,bh,a5028fe,whole scan,joint (either survey),0.03,101515,930.2115688674202,7.004293960328578,962.9388535940251,7.79562502689161
bh,bh,a5028fe,whole scan,Rubin detects,0.005,83447,121.70871197736255,1.094210522072393,124.60636586089377,1.1496561658870892
bh,bh,a5028fe,whole scan,Rubin detects,0.01,83447,243.4174239547251,2.188421044144786,249.21273172178755,2.2993123317741784
bh,bh,a5028fe,whole scan,Rubin detects,0.03,83447,730.2522718641752,6.5652631324343576,747.6381951653626,6.897936995322535
bh,bh,a5028fe,whole scan,Roman detects,0.005,23771,41.992193193607676,0.4532507507724952,44.8580847563582,0.6428035552775431
bh,bh,a5028fe,whole scan,Roman detects,0.01,23771,83.98438638721535,0.9065015015449904,89.7161695127164,1.2856071105550861
bh,bh,a5028fe,whole scan,Roman detects,0.03,23771,251.95315916164603,2.7195045046349713,269.1485085381492,3.8568213316652584
bh,bh,a5028fe,whole scan,both detect,0.005,5764,8.72891567297545,0.20024217114438167,9.03816395951129,0.21667260344803893
bh,bh,a5028fe,whole scan,both detect,0.01,5764,17.4578313459509,0.40048434228876334,18.07632791902258,0.43334520689607786
bh,bh,a5028fe,whole scan,both detect,0.03,5764,52.373494037852694,1.20145302686629,54.22898375706774,1.3000356206882335
bh,bh,a5028fe,whole scan,Rubin only,0.005,77683,112.9797963043871,1.0757321876328343,115.56820190138248,1.1290537111569368
bh,bh,a5028fe,whole scan,Rubin only,0.01,77683,225.9595926087742,2.1514643752656686,231.13640380276496,2.2581074223138735
bh,bh,a5028fe,whole scan,Rubin only,0.03,77683,677.8787778263226,6.454393125797005,693.4092114082948,6.77432226694162
