run,population,commit,scope,selection,F,n_mc,N_per_object,err_per_object,N_all_stars,err_all_stars
bulge,bulge,a5028fe,whole scan,joint (either survey),1.0,85061,247837.06761673326,2547.454273240785,255490.68117102643,2731.0394860273245
bulge,bulge,a5028fe,whole scan,Rubin detects,1.0,75533,174933.45239283337,2207.776482019223,177678.76555962057,2259.989358484621
bulge,bulge,a5028fe,whole scan,Roman detects,1.0,11468,81860.4580377136,1353.7833804110437,86845.80956496396,1603.3734288608498
bulge,bulge,a5028fe,whole scan,both detect,1.0,2016,9488.155470040594,476.1934538409385,9571.90334024452,478.76402219896795
bulge,bulge,a5028fe,whole scan,Rubin only,1.0,73517,165445.2969227928,2155.8100076482187,168106.86221937608,2208.695748968516
bulge,bulge,a5028fe,whole scan,Roman only,1.0,9452,72372.30256767302,1267.2684149761608,77273.90622471944,1530.2259190802072
bulge,bulge,a5028fe,whole scan,"Roman, sigma(M)/M < 1%",1.0,32,11.697287696546777,3.8931615636986994,12.0000994180661,3.9559070640860603
bulge,bulge,a5028fe,whole scan,"Roman, sigma(M)/M < 5%",1.0,575,1012.7076167454061,241.42765652385805,1026.8684537404383,241.59808692158938
bulge,bulge,a5028fe,whole scan,"Roman, sigma(M)/M < 10%",1.0,1089,1929.4934090052739,263.8641256663913,1976.7242994781886,265.3175699595505
bulge,bulge,a5028fe,whole scan,"joint, sigma(M)/M < 10%",1.0,1240,2126.193789405029,267.1580405848372,2177.349821304873,268.6539385110182
bulge,bulge,a5028fe,Roman footprint only,joint (either survey),1.0,12461,89736.23757601445,1424.3526433929253,94797.69400622985,1664.231162086841
bulge,bulge,a5028fe,Roman footprint only,Rubin detects,1.0,2933,16832.622352114562,643.0662275729098,16985.778394824003,647.0244099601271
bulge,bulge,a5028fe,Roman footprint only,Roman detects,1.0,11468,81860.4580377136,1353.7833804110437,86845.80956496396,1603.3734288608498
bulge,bulge,a5028fe,Roman footprint only,both detect,1.0,2016,9488.155470040594,476.1934538409385,9571.90334024452,478.76402219896795
bulge,bulge,a5028fe,Roman footprint only,Rubin only,1.0,917,7344.466882073968,432.1735387132019,7413.875054579481,435.2305114903099
bulge,bulge,a5028fe,Roman footprint only,Roman only,1.0,9452,72372.30256767302,1267.2684149761608,77273.90622471944,1530.2259190802072
bulge,bulge,a5028fe,Roman footprint only,"Roman, sigma(M)/M < 1%",1.0,32,11.697287696546777,3.8931615636986994,12.0000994180661,3.9559070640860603
bulge,bulge,a5028fe,Roman footprint only,"Roman, sigma(M)/M < 5%",1.0,575,1012.7076167454061,241.42765652385805,1026.8684537404383,241.59808692158938
bulge,bulge,a5028fe,Roman footprint only,"Roman, sigma(M)/M < 10%",1.0,1089,1929.4934090052739,263.8641256663913,1976.7242994781886,265.3175699595505
bulge,bulge,a5028fe,Roman footprint only,"joint, sigma(M)/M < 10%",1.0,1234,2124.798264312306,267.1565080325951,2175.9542962121495,268.65241449226266
