run,population,commit,scope,selection,F,n_mc,N_per_object,err_per_object,N_all_stars,err_all_stars
ns,ns,a5028fe,whole scan,joint (either survey),0.005,93185,959.5850813073962,7.341120686227588,986.9106549210878,7.892805704007567
ns,ns,a5028fe,whole scan,joint (either survey),0.01,93185,1919.1701626147924,14.682241372455175,1973.8213098421757,15.785611408015134
ns,ns,a5028fe,whole scan,joint (either survey),0.03,93185,5757.510487844377,44.04672411736553,5921.463929526527,47.3568342240454
ns,ns,a5028fe,whole scan,joint (either survey),0.06,93185,11515.020975688754,88.09344823473106,11842.927859053054,94.7136684480908
ns,ns,a5028fe,whole scan,Rubin detects,0.005,78633,705.3979297483882,6.6684907769460295,720.447107947501,7.125930207515296
ns,ns,a5028fe,whole scan,Rubin detects,0.01,78633,1410.7958594967763,13.336981553892059,1440.894215895002,14.251860415030592
ns,ns,a5028fe,whole scan,Rubin detects,0.03,78633,4232.387578490328,40.01094466167617,4322.682647685006,42.755581245091776
ns,ns,a5028fe,whole scan,Rubin detects,0.06,78633,8464.775156980657,80.02188932335234,8645.365295370011,85.51116249018355
ns,ns,a5028fe,whole scan,Roman detects,0.005,18047,289.72491800984733,3.247947328208625,302.9648928839493,3.568841701227297
ns,ns,a5028fe,whole scan,Roman detects,0.01,18047,579.4498360196947,6.49589465641725,605.9297857678986,7.137683402454594
ns,ns,a5028fe,whole scan,Roman detects,0.03,18047,1738.3495080590837,19.48768396925175,1817.7893573036956,21.41305020736378
ns,ns,a5028fe,whole scan,Roman detects,0.06,18047,3476.6990161181675,38.9753679385035,3635.5787146073912,42.82610041472756
ns,ns,a5028fe,whole scan,both detect,0.005,3606,37.59771325851856,1.0975426751291686,38.69174930783968,1.1440467900100662
ns,ns,a5028fe,whole scan,both detect,0.01,3606,75.19542651703712,2.195085350258337,77.38349861567936,2.2880935800201323
ns,ns,a5028fe,whole scan,both detect,0.03,3606,225.58627955111135,6.585256050775011,232.15049584703806,6.864280740060397
ns,ns,a5028fe,whole scan,both detect,0.06,3606,451.1725591022227,13.170512101550022,464.3009916940761,13.728561480120794
ns,ns,a5028fe,whole scan,Rubin only,0.005,75027,667.8002164898696,6.577550404100646,681.7553586396613,7.033494029616195
ns,ns,a5028fe,whole scan,Rubin only,0.01,75027,1335.6004329797393,13.155100808201292,1363.5107172793225,14.06698805923239
ns,ns,a5028fe,whole scan,Rubin only,0.03,75027,4006.8012989392178,39.46530242460387,4090.5321518379674,42.200964177697166
ns,ns,a5028fe,whole scan,Rubin only,0.06,75027,8013.6025978784355,78.93060484920774,8181.064303675935,84.40192835539433
ns,ns,a5028fe,whole scan,Roman only,0.005,14441,252.12720475132875,3.0568876202909157,264.27314357610965,3.380501150818708
ns,ns,a5028fe,whole scan,Roman only,0.01,14441,504.2544095026575,6.113775240581831,528.5462871522193,6.761002301637416
ns,ns,a5028fe,whole scan,Roman only,0.03,14441,1512.7632285079724,18.34132572174549,1585.6388614566577,20.283006904912245
ns,ns,a5028fe,whole scan,Roman only,0.06,14441,3025.5264570159447,36.68265144349098,3171.2777229133153,40.56601380982449
ns,ns,a5028fe,whole scan,"Roman, sigma(M)/M < 1%",0.005,198,0.20256959564375507,0.022412630771974792,0.2042893256754362,0.022543136634391378
ns,ns,a5028fe,whole scan,"Roman, sigma(M)/M < 1%",0.01,198,0.40513919128751014,0.044825261543949585,0.4085786513508724,0.045086273268782756
ns,ns,a5028fe,whole scan,"Roman, sigma(M)/M < 1%",0.03,198,1.2154175738625304,0.13447578463184873,1.2257359540526171,0.13525881980634824
