run,scope,selection,n_mc,k_obj,e_obj,k_all,e_all
bh,whole scan,joint (either survey),101515,31007.05229558067,233.47646534428597,32097.961786467506,259.8541675630537
bh,whole scan,Rubin detects,83447,24341.74239547251,218.8421044144786,24921.273172178753,229.93123317741782
bh,whole scan,Roman detects,23771,8398.438638721536,90.65015015449904,8971.61695127164,128.56071105550862
bh,whole scan,both detect,5764,1745.78313459509,40.04843422887632,1807.632791902258,43.33452068960778
bh,whole scan,Rubin only,77683,22595.95926087742,215.14643752656684,23113.640380276494,225.81074223138734
bh,whole scan,Roman only,18007,6652.655504126445,81.32387496208348,7163.984159369383,121.03708416720859
bh,whole scan,"Roman, sigma(M)/M < 1%",416,59.8030632910168,5.86077282665818,60.69241114440158,5.92847623624596
bh,whole scan,"Roman, sigma(M)/M < 5%",2691,588.870000243821,21.96425898635964,610.0778276351588,23.4084561291637
bh,whole scan,"Roman, sigma(M)/M < 10%",4384,1068.4258279948058,30.956111412270943,1105.8884398528737,32.549706411427216
bh,whole scan,"joint, sigma(M)/M < 10%",5303,1291.1288380576395,34.029721576348855,1333.530742301029,35.657599735326464
bh,Roman footprint only,joint (either survey),24186,8476.76453285713,90.83786868979338,9051.905412951066,128.70001949759862
bh,Roman footprint only,Rubin detects,6118,1811.4546327489622,40.39956909423844,1875.216798662311,43.67926978880008
bh,Roman footprint only,Roman detects,23771,8398.438638721536,90.65015015449904,8971.61695127164,128.56071105550862
bh,Roman footprint only,both detect,5764,1745.78313459509,40.04843422887632,1807.632791902258,43.33452068960778
bh,Roman footprint only,Rubin only,354,65.67149815387276,5.31489405496598,67.58400676005316,5.4770362318264
bh,Roman footprint only,Roman only,18007,6652.655504126445,81.32387496208348,7163.984159369383,121.03708416720859
bh,Roman footprint only,"Roman, sigma(M)/M < 1%",416,59.8030632910168,5.86077282665818,60.69241114440158,5.92847623624596
bh,Roman footprint only,"Roman, sigma(M)/M < 5%",2691,588.870000243821,21.96425898635964,610.0778276351588,23.4084561291637
bh,Roman footprint only,"Roman, sigma(M)/M < 10%",4384,1068.4258279948058,30.956111412270943,1105.8884398528737,32.549706411427216
